Date,Time,Close Price
20100930,734411,10723
20101001,734412,10768
20101004,734415,10707
20101005,734416,10864
20101006,734417,10906
20101007,734418,10912
20101008,734419,10947
20101011,734422,10963
20101012,734423,10957
20101013,734424,11044
20101014,734425,11052
20101015,734426,11024
20101018,734429,11045
20101019,734430,10943
20101020,734431,11063
20101021,734432,11083
20101022,734433,11090
20101025,734436,11115
20101026,734437,11124
20101027,734438,11072
20101028,734439,11049
20101029,734440,11066
20101101,734443,11090
20101102,734444,11152
20101103,734445,11177
20101104,734446,11387
20101105,734447,11376
20101108,734450,11362
20101109,734451,11313
20101110,734452,11302
20101111,734453,11242
20101112,734454,11152
20101115,734457,11173
20101116,734458,10984
20101117,734459,10995
20101118,734460,11176
20101119,734461,11179
20101122,734464,11165
20101123,734465,11014
20101124,734466,11155
20101126,734468,11030
20101129,734471,11039
20101130,734472,10996
20101201,734473,11233
20101202,734474,11363
20101203,734475,11364
20101206,734478,11353
20101207,734479,11355
20101208,734480,11368
20101209,734481,11362
20101210,734482,11408
20101213,734485,11429
20101214,734486,11484
20101215,734487,11478
20101216,734488,11490
20101217,734489,11492
20101220,734492,11404
20101221,734493,11471
20101222,734494,11495
20101223,734495,11522
20101227,734499,11503
20101228,734500,11509
20101229,734501,11532
20101230,734502,11522
20101231,734503,11513
20110103,734506,11585
20110104,734507,11619
20110105,734508,11664
20110106,734509,11646
20110107,734510,11619
20110110,734513,11587
20110111,734514,11616
20110112,734515,11708
20110113,734516,11683
20110114,734517,11725
20110118,734521,11811
20110119,734522,11786
20110120,734523,11774
20110121,734524,11822
20110124,734527,11930
20110125,734528,11922
20110126,734529,11936
20110127,734530,11944
20110128,734531,11775
20110131,734534,11840
20110201,734535,11973
20110202,734536,11985
20110203,734537,12009
20110204,734538,12045
20110207,734541,12108
20110208,734542,12196
20110209,734543,12207
20110210,734544,12194
20110211,734545,12241
20110214,734548,12224
20110215,734549,12202
20110216,734550,12252
20110217,734551,12288
20110218,734552,12375
20110222,734556,12183
20110223,734557,12094
20110224,734558,12037
20110225,734559,12110
20110228,734562,12214
20110301,734563,12022
20110302,734564,12046
20110303,734565,12239
20110304,734566,12154
20110307,734569,12078
20110308,734570,12199
20110309,734571,12174
20110310,734572,11983
20110311,734573,12065
20110314,734576,11988
20110315,734577,11853
20110316,734578,11641
20110317,734579,11776
20110318,734580,11910
20110321,734583,11963
20110322,734584,11955
20110323,734585,12021
20110324,734586,12116
20110325,734587,12170
20110328,734590,12114
20110329,734591,12225
20110330,734592,12286
20110331,734593,12252
20110401,734594,12318
20110404,734597,12337
20110405,734598,12327
20110406,734599,12357
20110407,734600,12351
20110408,734601,12326
20110411,734604,12321
20110412,734605,12193
20110413,734606,12199
20110414,734607,12228
20110415,734608,12303
20110418,734611,12140
20110419,734612,12226
20110420,734613,12396
20110421,734614,12434
20110425,734618,12427
20110426,734619,12518
20110427,734620,12641
20110428,734621,12708
20110429,734622,12756
20110502,734625,12764
20110503,734626,12749
20110504,734627,12672
20110505,734628,12570
20110506,734629,12569
20110509,734632,12631
20110510,734633,12700
20110511,734634,12597
20110512,734635,12672
20110513,734636,12556
20110516,734639,12509
20110517,734640,12437
20110518,734641,12532
20110519,734642,12591
20110520,734643,12466
20110523,734646,12362
20110524,734647,12327
20110525,734648,12351
20110526,734649,12409
20110527,734650,12428
20110531,734654,12558
20110601,734655,12274
20110602,734656,12238
20110603,734657,12125
20110606,734660,12087
20110607,734661,12072
20110608,734662,12030
20110609,734663,12113
20110610,734664,11941
20110613,734667,11953
20110614,734668,12087
20110615,734669,11901
20110616,734670,11967
20110617,734671,12047
20110620,734674,12013
20110621,734675,12088
20110622,734676,12023
20110623,734677,11976
20110624,734678,11881
20110627,734681,11990
20110628,734682,12141
20110629,734683,12218
20110630,734684,12345
20110701,734685,12514
20110705,734689,12533
20110706,734690,12569
20110707,734691,12681
20110708,734692,12615
20110711,734695,12489
20110712,734696,12413
20110713,734697,12425
20110714,734698,12382
20110715,734699,12452
20110718,734702,12328
20110719,734703,12507
20110720,734704,12507
20110721,734705,12690
20110722,734706,12621
20110725,734709,12550
20110726,734710,12432
20110727,734711,12244
20110728,734712,12193
20110729,734713,12088
20110801,734716,12040
20110802,734717,11804
20110803,734718,11818
20110804,734719,11371
20110805,734720,11402
20110808,734723,10726
20110809,734724,11194
20110810,734725,10725
20110811,734726,11084
20110812,734727,11250
20110815,734730,11403
20110816,734731,11387
20110817,734732,11381
20110818,734733,11017
20110819,734734,10820
20110822,734737,10847
20110823,734738,11141
20110824,734739,11268
20110825,734740,11131
20110826,734741,11279
20110829,734744,11517
20110830,734745,11492
20110831,734746,11603
20110901,734747,11465
20110902,734748,11208
20110906,734752,11128
20110907,734753,11415
20110908,734754,11293
20110909,734755,11021
20110912,734758,11061
20110913,734759,11095
20110914,734760,11248
20110915,734761,11452
20110916,734762,11500.5
20110919,734765,11323
20110920,734766,11335
20110921,734767,11007
20110922,734768,10650
20110923,734769,10697
20110926,734772,10972
20110927,734773,11120
20110928,734774,10976
20110929,734775,11099
20110930,734776,10841
20111003,734779,10529
20111004,734780,10683
20111005,734781,10838
20111006,734782,11046
20111007,734783,11066
20111010,734786,11368
20111011,734787,11330
20111012,734788,11416
20111013,734789,11392
20111014,734790,11566
20111017,734793,11301
20111018,734794,11526
20111019,734795,11444
20111020,734796,11472
20111021,734797,11757
20111024,734800,11825
20111025,734801,11662
20111026,734802,11802
20111027,734803,12168
20111028,734804,12168
20111031,734807,11897
20111101,734808,11682
20111102,734809,11768
20111103,734810,11976
20111104,734811,11941
20111107,734814,12007
20111108,734815,12123
20111109,734816,11732
20111110,734817,11855
20111111,734818,12112
20111114,734821,12060
20111115,734822,12038
20111116,734823,11845
20111117,734824,11739
20111118,734825,11767
20111121,734828,11525
20111122,734829,11447
20111123,734830,11234
20111125,734832,11187
20111128,734835,11498
20111129,734836,11565
20111130,734837,12034
20111201,734838,12003
20111202,734839,12000
20111205,734842,12066
20111206,734843,12112
20111207,734844,12214
20111208,734845,12012
20111209,734846,12210
20111212,734849,12011
20111213,734850,11964
20111214,734851,11833
20111215,734852,11899
20111216,734853,11949.3
20111219,734856,11703
20111220,734857,12031
20111221,734858,12024
20111222,734859,12103
20111223,734860,12217
20111227,734864,12219
20111228,734865,12081
20111229,734866,12217
20111230,734867,12150
20120103,734871,12338
20120104,734872,12356
20120105,734873,12331
20120106,734874,12309
20120109,734877,12337
20120110,734878,12390
20120111,734879,12388
20120112,734880,12413
20120113,734881,12390
20120117,734885,12420
20120118,734886,12504
20120119,734887,12587
20120120,734888,12654
20120123,734891,12650
20120124,734892,12626
20120125,734893,12688
20120126,734894,12684
20120127,734895,12614
20120130,734898,12602
20120131,734899,12577
20120201,734900,12653
20120202,734901,12666
20120203,734902,12793
20120206,734905,12776
20120207,734906,12831
20120208,734907,12843
20120209,734908,12842
20120210,734909,12767
20120213,734912,12835
20120214,734913,12840
20120215,734914,12763
20120216,734915,12870
20120217,734916,12929
20120221,734920,12945
20120222,734921,12916
20120223,734922,12974
20120224,734923,12961
20120227,734926,12969
20120228,734927,12997
20120229,734928,12937
20120301,734929,12973
20120302,734930,12968
20120305,734933,12961
20120306,734934,12744
20120307,734935,12841
20120308,734936,12911
20120309,734937,12931
20120312,734940,12966
20120313,734941,13176
20120314,734942,13195
20120315,734943,13238
20120316,734944,13302.8
20120319,734947,13167
20120320,734948,13108
20120321,734949,13066
20120322,734950,13001
20120323,734951,13032
20120326,734954,13200
20120327,734955,13124
20120328,734956,13053
20120329,734957,13078
20120330,734958,13142
20120402,734961,13189
20120403,734962,13132
20120404,734963,13005
20120405,734964,12978
20120409,734968,12850
20120410,734969,12680
20120411,734970,12744
20120412,734971,12950
20120413,734972,12788
20120416,734975,12850
20120417,734976,13024
20120418,734977,12957
20120419,734978,12902
20120420,734979,12988
20120423,734982,12871
20120424,734983,12959
20120425,734984,13040
20120426,734985,13160
20120427,734986,13164
20120430,734989,13155
20120501,734990,13218
20120502,734991,13204
20120503,734992,13143
20120504,734993,12957
20120507,734996,12959
20120508,734997,12867
20120509,734998,12795
20120510,734999,12834
20120511,735000,12788
20120514,735003,12655
20120515,735004,12605
20120516,735005,12574
20120517,735006,12413
20120518,735007,12335
20120521,735010,12490
20120522,735011,12477
20120523,735012,12466
20120524,735013,12536
20120525,735014,12429
20120529,735018,12583
20120530,735019,12381
20120531,735020,12383
20120601,735021,12103
20120604,735024,12063
20120605,735025,12126
20120606,735026,12419
20120607,735027,12479
20120608,735028,12575
20120611,735031,12382
20120612,735032,12585
20120613,735033,12501
20120614,735034,12676
20120615,735035,12729.9
20120618,735038,12686
20120619,735039,12762
20120620,735040,12763
20120621,735041,12502
20120622,735042,12568
20120625,735045,12431
20120626,735046,12486
20120627,735047,12553
20120628,735048,12526
20120629,735049,12808
20120702,735052,12776
20120703,735053,12867
20120705,735055,12832
20120706,735056,12727
20120709,735059,12685
20120710,735060,12585
20120711,735061,12536
20120712,735062,12502
20120713,735063,12712
20120716,735066,12648
20120717,735067,12737
20120718,735068,12860
20120719,735069,12880
20120720,735070,12773
20120723,735073,12645
20120724,735074,12524
20120725,735075,12637
20120726,735076,12825
20120727,735077,13033
20120730,735080,13001
20120731,735081,12949
20120801,735082,12923
20120802,735083,12831
20120803,735084,13055
20120806,735087,13067
20120807,735088,13119
20120808,735089,13120
20120809,735090,13138
20120810,735091,13172
20120813,735094,13137
20120814,735095,13133
20120815,735096,13135
20120816,735097,13225
20120817,735098,13247
20120820,735101,13229
20120821,735102,13199
20120822,735103,13156
20120823,735104,13039
20120824,735105,13156
20120827,735108,13107
20120828,735109,13086
20120829,735110,13084
20120830,735111,12982
20120831,735112,13079
20120904,735116,13050
20120905,735117,13050
20120906,735118,13275
20120907,735119,13296
20120910,735122,13237
20120911,735123,13293
20120912,735124,13361
20120913,735125,13520
20120914,735126,13592
20120917,735129,13541
20120918,735130,13570
20120919,735131,13570
20120920,735132,13593
20120921,735133,13652.3
20120924,735136,13489
