Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20080701,733590,11344.64,11382.26,11407.9,11183.43,299589749,-301.153786,-132.2929162,224.47,12115.35192,11910.8431,11468.806,11692.866,-460.1,-925.09,-7.516565304,-0.053769787,-11847782.3,72.34,2.11
20080702,733591,11382.34,11215.51,11434.12,11214.37,230692051,-318.7609754,-114.9277805,219.75,12064.08885,11844.6209,11349.542,11611.511,-591.92,-1053.57,-8.587196432,-0.070262263,-14227548.89,71.99,1.95
20080703,733592,11216,11288.54,11337.48,11157.21,148755195,-323.0974233,-99.65053708,180.27,12013.87769,11791.66081,11316.566,11534.056,-523.29,-871.76,-7.168902083,-0.046792578,-13366107.16,72.73,1.92
20080707,733596,11289.19,11231.96,11399.11,11120.74,248235090,-327.3264075,-87.63753042,278.37,11959.48308,11738.35597,11293.656,11472.983,-114.55,-831.13,-6.889859895,-0.05154378,-12609377.12,72.71,1.99
20080708,733597,11225.03,11384.21,11391.13,11174.88,271497765,-314.7641996,-64.63711344,216.25,11911.24808,11704.62779,11300.496,11427.168,34.2,-458.48,-3.871417727,-0.035843532,-9533880.582,72.96,1.97
20080709,733598,11381.93,11147.44,11418.24,11141.99,227104879,-320.2225929,-74.93868645,276.25,11859.07962,11651.56228,11253.532,11361.169,-234.82,-694.92,-5.868087104,-0.056247846,-11440700.24,72.59,1.99
20080710,733599,11148.01,11229.02,11270.3,11086.95,248007342,-314.3420452,-78.86191473,183.35,11813.93231,11611.32016,11256.234,11302.888,13.51,-578.41,-4.898695144,-0.019592401,-12637335.64,72.49,2.01
20080711,733600,11226.17,11100.54,11241.07,10977.68,275005893,-316.4016498,-100.8574694,263.39,11764.31923,11562.67443,11218.634,11267.6,-188,-711.29,-6.021844202,-0.021678031,-11006215.96,71.91,1.97
20080714,733603,11103.64,11055.19,11239.04,11003.65,205356456,-318.0272471,-104.5843418,235.39,11704.73231,11514.34258,11183.28,11238.468,-233.35,-398.23,-3.476952736,-0.025975308,-12798111.05,71.96,2.06
20080715,733604,11050.8,10962.54,11123.67,10827.71,331391295,-323.0675043,-154.7521442,295.96,11656.76038,11461.78995,11098.946,11199.721,-269.42,-383.97,-3.384036149,-0.036874926,-13965161.5,71.7,2.16
